,CN: (DC)GDP Deflator,CN: GDP,GDP Deflator: YoY,Money Supply M2: Seasonally Adjusted,Money Supply M2
Region,China,China,China,China,China
Subnational,,,,,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,2010=100,RMB bn,%,RMB bn,RMB bn
Source,International Monetary Fund,National Bureau of Statistics,CEIC Data,The People's Bank of China,The People's Bank of China
Status,Discontinued,Active,Active,Active,Active
Series ID,447392777,369703417 (CAASNW),249102401 (CAAORU),6467101 (CKABC),6398801 (CKAAC)
SR Code,SR130456377,SR92010057,SR3730721,SR19400,SR19390
Mnemonic,,,CN.GDPDEF.RT.YOY-Q,,
Function Description,,,,,
First Obs. Date,2000/03/01,1992/03/01,1993/03/01,1993/03/01,1990/03/01
Last Obs. Date,2019/09/01,2020/12/01,2020/12/01,2020/06/01,2020/12/01
Last Update Time,08/02/2021,20/01/2021,12/03/2021,07/12/2020,18/01/2021
Series remarks,,,"1. CEIC calculates GDP Deflator Growth from quarterly Nominal and Real GDP.
2. The National Bureau of Statistics provides Nominal GDP in local currency and Real GDP Index, at previous year prices.",,
Suggestions,,,,,
Mean,97.45352842962028,8914.746293103448,4.4659455092857145,62841.32327272728,59691.54635718532
Variance,475.5280296802729,63313171.24699572,26.4960817225387,3851874825.83716,4195138683.2971954
Standard Deviation,21.806605184674503,7956.957411410201,5.14743447967419,62063.47416828323,64769.890252317055
Skewness,-0.13921111987078816,0.8431109440028952,1.55050404163038,0.91719699416714,1.027138442499359
Kurtosis,-1.5039959184289395,-0.5235835348296449,2.2443071601895888,-0.4993454090210312,-0.27271405502332824
Coefficient Variation,0.22376414211028758,0.8925612855147427,1.1525967947820914,0.9876220126513213,1.0850764338511802
Min,60.83593561,526.28,-1.62075859,2956.52,1248.03
Max,128.76756882,29629.78,21.25492991,212422.9,218679.589
Median,97.51844107,5504.475,2.8032225950000003,33870.604999999996,27828.735
No. of Obs,79,116,112,110,124
1990/03/01,,,,,1248.03
1990/06/01,,,,,1318.73
1990/09/01,,,,,1422.8
1990/12/01,,,,,1529.34
1991/03/01,,,,,1624.97
1991/06/01,,,,,1705.11
1991/09/01,,,,,1824.57
1991/12/01,,,,,1934.99
1992/03/01,,526.28,,,2060.83
1992/06/01,,648.43,,,2211.83
1992/09/01,,719.26,,,2356.39
1992/12/01,,825.48,,,2540.22
1993/03/01,,683.46,12.63333122,2956.52,2946.02
1993/06/01,,835.7,13.55112494,3103.94,3086.02
1993/09/01,,938.58,15.58072306,3198.64,3179.56
1993/12/01,,1109.59,17.80715859,3453.9,3487.98
1994/03/01,,937.51,20.2201214,3703.44,3701.03
